index,nswprice,nswdemand,vicprice,vicdemand,transfer,target
0,0.046445,0.37831,0.003467,0.422915,0.414912,0
1,0.037829,0.749182,0.002576,0.590368,0.557456,0
2,0.046806,0.5,0.003467,0.422915,0.414912,0
3,0.029723,0.362838,0.001874,0.341792,0.682456,1
4,0.05308,0.500595,0.003581,0.557483,0.410088,0
5,0.03957,0.587325,0.002763,0.581823,0.252193,0
6,0.048727,0.49033,0.003292,0.563698,0.354825,0
7,0.041401,0.325796,0.002757,0.270067,0.735526,1
8,0.028041,0.364326,0.00188,0.34464,0.635088,0
9,0.033145,0.417882,0.002302,0.269032,0.323684,0
10,0.038459,0.529604,0.002513,0.439669,0.763596,0
11,0.115468,0.577804,0.007862,0.619109,0.375877,1
12,0.067341,0.298126,0.003467,0.422915,0.414912,1
13,0.021016,0.063374,0.000835,0.139306,0.902193,0
14,0.056563,0.443469,0.003467,0.422915,0.414912,0
15,0.206137,0.75424,0.014449,0.765407,0.297807,1
16,0.085625,0.339036,0.005611,0.442517,0.582895,1
17,0.119581,0.457007,0.003467,0.422915,0.414912,1
18,0.034556,0.245463,0.002221,0.339461,0.74386,0
19,0.098775,0.426064,0.003467,0.422915,0.414912,1
20,0.049688,0.158584,0.003467,0.422915,0.414912,0
21,0.05269,0.722702,0.003481,0.601502,0.646053,1
22,0.06614,0.497322,0.003467,0.422915,0.414912,0
23,0.04005,0.344689,0.002528,0.182289,0.921053,1
24,0.07893,0.529307,0.003467,0.422915,0.414912,1
25,0.056623,0.470544,0.003808,0.566287,0.357018,0
26,0.069833,0.600863,0.004786,0.521491,0.509649,1
27,0.049358,0.438709,0.003295,0.434749,0.51886,0
28,0.043833,0.458941,0.003467,0.422915,0.414912,0
29,0.038549,0.508331,0.002555,0.511393,0.602632,1
30,0.067701,0.544778,0.004663,0.467633,0.266228,1
31,0.024649,0.146831,0.001452,0.305282,0.788596,0
32,0.086436,0.519786,0.006282,0.589591,0.451316,1
33,0.02633,0.568878,0.001215,0.463749,0.823684,0
34,0.043833,0.109491,0.003467,0.422915,0.414912,0
35,0.07935,0.450759,0.005573,0.471258,0.317544,1
36,0.03963,0.589705,0.002717,0.59218,0.523684,0
37,0.042122,0.10607,0.003467,0.422915,0.414912,0
38,0.038549,0.526927,0.0027,0.461678,0.271053,0
39,0.06632,0.536299,0.004541,0.65303,0.277632,1
40,0.02618,0.395418,0.001708,0.249612,0.838596,0
41,0.060046,0.278489,0.003868,0.352667,0.759211,0
42,0.072445,0.527522,0.003467,0.422915,0.414912,1
43,0.024949,0.47947,0.001575,0.457794,0.665789,0
44,0.166777,0.716453,0.003467,0.422915,0.414912,1
45,0.051219,0.360756,0.003467,0.422915,0.414912,0
46,0.069233,0.539869,0.004842,0.515277,0.500526,1
47,0.046625,0.091342,0.003467,0.422915,0.414912,0
48,0.059265,0.281315,0.003467,0.422915,0.414912,0
49,0.048217,0.42294,0.001697,0.256862,0.838158,1
50,0.07956,0.41208,0.003467,0.422915,0.414912,1
51,0.044254,0.604582,0.003467,0.422915,0.414912,0
52,0.054882,0.529009,0.003646,0.575091,0.448684,1
53,0.048517,0.466528,0.003467,0.422915,0.414912,0
54,0.040351,0.129426,0.003467,0.422915,0.414912,0
55,0.050859,0.518298,0.003467,0.422915,0.414912,0
56,0.07893,0.513835,0.003467,0.422915,0.414912,1
57,0.058364,0.415204,0.003467,0.422915,0.414912,0
58,0.009817,0.196816,0.00064,0.226308,0.50307,0
59,0.054792,0.300208,0.003515,0.312791,0.757895,1
60,0.021917,0.116186,0.001491,0.106163,0.55,0
61,0.041732,0.488545,0.003467,0.422915,0.414912,0
62,0.064999,0.516513,0.004304,0.422838,0.591667,0
63,0.090068,0.529902,0.003467,0.422915,0.414912,1
64,0.084965,0.415501,0.003467,0.422915,0.414912,1
65,0.110724,0.436477,0.003467,0.422915,0.414912,1
66,0.059025,0.62526,0.003467,0.422915,0.414912,0
67,0.096073,0.569325,0.00656,0.578457,0.264035,1
68,0.053471,0.278786,0.002096,0.3058,0.683772,0
69,0.028942,0.511009,0.001975,0.602538,0.283772,0
70,0.029182,0.568581,0.001978,0.557742,0.378509,0
71,0.035037,0.432312,0.002077,0.277317,0.85,1
72,0.03912,0.380839,0.002615,0.425945,0.429386,0
73,0.041281,0.660369,0.003467,0.422915,0.414912,0
74,0.087997,0.497025,0.005766,0.515795,0.586404,1
75,0.121713,0.557126,0.003467,0.422915,0.414912,1
76,0.076138,0.194139,0.003467,0.422915,0.414912,0
77,0.027261,0.581523,0.001955,0.632315,0.166667,0
78,0.053951,0.509967,0.003691,0.478509,0.500526,0
79,0.05296,0.519786,0.003614,0.503625,0.238158,0
80,0.033415,0.577358,0.00225,0.643708,0.408772,0
81,0.051909,0.138798,0.003467,0.422915,0.414912,0
82,0.096553,0.667658,0.006421,0.667012,0.487281,1
83,0.046836,0.462065,0.003182,0.458571,0.451316,0
84,0.040891,0.363434,0.002723,0.267737,0.710965,1
85,0.045725,0.383219,0.002748,0.442517,0.601316,0
86,0.095743,0.623773,0.003467,0.422915,0.414912,1
87,0.03993,0.343053,0.002212,0.27188,0.707895,1
88,0.05206,0.443023,0.003467,0.422915,0.414912,0
89,0.059265,0.22166,0.003467,0.422915,0.414912,0
90,0.137685,0.474264,0.003467,0.422915,0.414912,1
91,0.06536,0.406873,0.004794,0.340497,0.500526,0
92,0.069443,0.400179,0.003467,0.422915,0.414912,1
93,0.041792,0.566349,0.002682,0.489902,0.709649,0
94,0.056713,0.295448,0.003467,0.422915,0.414912,0
95,0.035097,0.180452,0.002302,0.189798,0.676316,0
96,0.040771,0.438262,0.002759,0.278871,0.502632,0
97,0.066771,0.664981,0.004447,0.566546,0.448684,0
98,0.10592,0.447486,0.003467,0.422915,0.414912,1
99,0.044884,0.49152,0.002966,0.558001,0.484211,1
100,0.03975,0.468759,0.002482,0.397204,0.69693,1
101,0.055212,0.462809,0.003741,0.291041,0.458772,0
102,0.040801,0.083011,0.003467,0.422915,0.414912,0
103,0.051609,0.580333,0.003587,0.495339,0.450439,1
104,0.041672,0.368492,0.003467,0.422915,0.414912,0
105,0.024078,0.328622,0.001429,0.380114,0.735526,0
106,0.060076,0.35421,0.003467,0.422915,0.414912,0
107,0.044224,0.493603,0.003014,0.420766,0.400439,1
108,0.089618,0.524249,0.005837,0.50492,0.577632,1
109,0.11862,0.592383,0.003467,0.422915,0.414912,1
110,0.060136,0.252901,0.003467,0.422915,0.414912,1
111,0.041341,0.219875,0.003467,0.422915,0.414912,0
112,0.048577,0.23371,0.001317,0.216209,0.604386,0
113,0.037679,0.19875,0.00247,0.228897,0.550439,0
114,0.061697,0.131806,0.003467,0.422915,0.414912,1
115,0.044254,0.459685,0.003467,0.422915,0.414912,0
116,0.067431,0.537191,0.00447,0.552046,0.52193,1
117,0.028612,0.294258,0.00182,0.298032,0.653947,0
118,0.116729,0.649509,0.008124,0.576644,0.376316,1
119,0.103549,0.485421,0.003467,0.422915,0.414912,1
120,0.028342,0.130765,0.001911,0.308131,0.536404,1
121,0.075117,0.612467,0.003467,0.422915,0.414912,0
122,0.10583,0.535704,0.003467,0.422915,0.414912,1
123,0.044134,0.465338,0.003467,0.422915,0.414912,0
124,0.041642,0.689824,0.003467,0.422915,0.414912,0
125,0.044134,0.483933,0.002968,0.388918,0.586842,0
126,0.035547,0.606665,0.002522,0.643708,0.232895,0
127,0.086976,0.50119,0.003467,0.422915,0.414912,1
128,0.05305,0.347218,0.003467,0.422915,0.414912,1
129,0.097244,0.637905,0.003467,0.422915,0.414912,1
130,0.062958,0.225082,0.004213,0.35914,0.549561,1
131,0.07842,0.492115,0.003467,0.422915,0.414912,1
132,0.030383,0.223445,0.001967,0.280425,0.738158,0
133,0.029122,0.545373,0.002007,0.541429,0.439035,0
134,0.058394,0.35302,0.003467,0.422915,0.414912,1
135,0.083373,0.566349,0.005604,0.476696,0.513158,1
136,0.055242,0.105177,0.003467,0.422915,0.414912,0
137,0.030443,0.495537,0.002092,0.477991,0.328509,0
138,0.073226,0.512943,0.003467,0.422915,0.414912,1
139,0.030353,0.466379,0.002077,0.486794,0.300877,0
140,0.029693,0.193544,0.002032,0.320818,0.407456,0
141,0.081392,0.323862,0.005505,0.274469,0.491228,1
142,0.069833,0.150253,0.003467,0.422915,0.414912,0
143,0.029933,0.288158,0.000823,0.197566,0.812719,1
144,0.043923,0.39512,0.002703,0.267737,0.834211,0
