,Season,Year,Month,Hour,Holiday,Weekday,Working day,Weather situation,Temperature (normalized),Feels-like temperature (normalized),Humidity (normalized),Windspeed,Rental bikes count
0,Summer,1,6,18,0,1,1,Clear or partly cloudy,0.76,0.6667,0.27,0.4478,791
1,Fall,1,10,11,0,3,1,Misty and/or cloudy,0.36,0.3485,0.66,0.2239,189
2,Spring,0,6,22,0,6,0,Clear or partly cloudy,0.64,0.6212,0.57,0.2239,190
3,Spring,0,3,21,0,2,1,Misty and/or cloudy,0.42,0.4242,0.54,0.2836,87
4,Fall,1,11,5,0,2,1,Misty and/or cloudy,0.34,0.3333,0.66,0.1343,34
5,Spring,0,4,0,0,0,0,Clear or partly cloudy,0.3,0.2879,0.65,0.194,39
6,Spring,1,6,18,0,0,0,Clear or partly cloudy,0.82,0.7273,0.38,0.2239,490
7,Fall,0,11,17,0,3,1,Clear or partly cloudy,0.46,0.4545,0.63,0.1045,485
8,Winter,0,12,14,0,5,1,Clear or partly cloudy,0.4,0.4091,0.54,0.4179,200
9,Spring,0,5,9,0,0,0,Clear or partly cloudy,0.58,0.5455,0.83,0.2537,134
10,Fall,1,11,6,0,2,1,Misty and/or cloudy,0.3,0.303,0.81,0.1642,100
11,Summer,1,8,13,0,5,1,Clear or partly cloudy,0.88,0.7576,0.27,0.3284,368
12,Summer,0,7,19,0,4,1,Clear or partly cloudy,0.86,0.9242,0.67,0.2836,284
13,Winter,0,2,14,0,3,1,Clear or partly cloudy,0.38,0.3939,0.82,0.3881,63
14,Winter,0,2,13,0,0,0,Clear or partly cloudy,0.38,0.3939,0.29,0.3582,154
15,Fall,1,10,23,0,1,1,Light snow or light rain,0.54,0.5152,0.77,0.0,105
16,Winter,1,2,2,0,6,0,Light snow or light rain,0.26,0.2576,0.81,0.194,26
17,Winter,1,12,1,0,6,0,Clear or partly cloudy,0.26,0.2121,0.44,0.4478,35
18,Fall,0,11,3,0,1,1,Clear or partly cloudy,0.44,0.4394,0.67,0.2836,7
19,Spring,1,4,9,0,3,1,Light snow or light rain,0.48,0.4697,0.44,0.2985,265
20,Winter,1,1,8,0,6,0,Clear or partly cloudy,0.24,0.2576,0.75,0.1045,64
21,Spring,1,5,9,0,4,1,Clear or partly cloudy,0.54,0.5152,0.52,0.4179,346
22,Summer,0,6,10,0,3,1,Clear or partly cloudy,0.74,0.6667,0.42,0.2836,126
23,Summer,0,9,12,0,6,0,Clear or partly cloudy,0.72,0.6818,0.62,0.2239,404
24,Spring,1,5,21,0,5,1,Clear or partly cloudy,0.6,0.6212,0.4,0.0,258
25,Winter,0,1,6,0,6,0,Clear or partly cloudy,0.14,0.1667,0.63,0.1045,3
26,Fall,1,10,12,0,3,1,Misty and/or cloudy,0.52,0.5,0.48,0.1642,332
27,missing,1,2,23,0,1,1,Clear or partly cloudy,0.28,0.3182,0.41,0.0,36
28,Spring,1,4,16,0,2,1,Clear or partly cloudy,0.62,0.6061,0.21,0.1642,485
29,Spring,1,5,5,0,1,1,Misty and/or cloudy,0.54,0.5152,0.77,0.1642,26
30,Fall,1,11,18,0,3,1,Clear or partly cloudy,0.32,0.3182,0.53,0.1642,567
31,Spring,0,5,9,0,6,0,Clear or partly cloudy,0.64,0.6061,0.73,0.2537,177
32,Spring,0,5,18,0,1,1,Clear or partly cloudy,0.7,0.6667,0.74,0.2836,453
33,Summer,1,9,17,0,6,0,Light snow or light rain,0.58,0.5455,0.83,0.194,171
34,Summer,0,8,10,0,3,1,Clear or partly cloudy,0.76,0.6818,0.43,0.0896,118
35,Fall,1,missing,21,0,2,1,Misty and/or cloudy,0.48,0.4697,0.77,0.1343,225
36,Summer,1,9,15,0,6,0,Misty and/or cloudy,0.86,0.7879,0.44,0.2836,563
37,Winter,1,3,6,0,1,1,Clear or partly cloudy,0.46,0.4545,0.88,0.1343,120
38,Summer,0,6,22,0,4,1,Clear or partly cloudy,0.7,0.6364,0.42,0.1642,207
