"DateTime","Consumption.Full","Consumption.Missing"
"2019-01-01 00:00:00",6352,6352
"2019-01-01 01:00:00",6116,6116
"2019-01-01 02:00:00",5873,5873
"2019-01-01 03:00:00",5682,5682
"2019-01-01 04:00:00",5557,5557
"2019-01-01 05:00:00",5525,5525
"2019-01-01 06:00:00",5513,5513
"2019-01-01 07:00:00",5524,5524
"2019-01-01 08:00:00",5510,5510
"2019-01-01 09:00:00",5617,5617
"2019-01-01 10:00:00",5643,5643
"2019-01-01 11:00:00",5737,5737
"2019-01-01 12:00:00",5776,5776
"2019-01-01 13:00:00",5744,5744
"2019-01-01 14:00:00",5710,5710
"2019-01-01 15:00:00",5813,5813
"2019-01-01 16:00:00",6009,6009
"2019-01-01 17:00:00",6613,6613
"2019-01-01 18:00:00",6718,6718
"2019-01-01 19:00:00",6721,6721
"2019-01-01 20:00:00",6632,6632
"2019-01-01 21:00:00",6441,6441
"2019-01-01 22:00:00",6222,6222
"2019-01-01 23:00:00",5936,5936
"2019-01-02 00:00:00",5647,5647
"2019-01-02 01:00:00",5500,5500
"2019-01-02 02:00:00",5385,5385
"2019-01-02 03:00:00",5327,5327
"2019-01-02 04:00:00",5362,5362
"2019-01-02 05:00:00",5411,5411
"2019-01-02 06:00:00",5510,5510
"2019-01-02 07:00:00",5784,5784
"2019-01-02 08:00:00",5999,5999
"2019-01-02 09:00:00",6322,6322
"2019-01-02 10:00:00",6576,6576
"2019-01-02 11:00:00",6619,6619
"2019-01-02 12:00:00",6595,6595
"2019-01-02 13:00:00",6537,6537
"2019-01-02 14:00:00",6438,6438
"2019-01-02 15:00:00",6523,6523
"2019-01-02 16:00:00",6800,6800
"2019-01-02 17:00:00",7301,7301
"2019-01-02 18:00:00",7432,7432
"2019-01-02 19:00:00",7388,7388
"2019-01-02 20:00:00",7344,7344
"2019-01-02 21:00:00",7054,7054
"2019-01-02 22:00:00",6610,6610
"2019-01-02 23:00:00",6265,6265
"2019-01-03 00:00:00",5918,5918
"2019-01-03 01:00:00",5693,5693
"2019-01-03 02:00:00",5544,5544
"2019-01-03 03:00:00",5539,5539
"2019-01-03 04:00:00",5684,5684
"2019-01-03 05:00:00",5830,5830
"2019-01-03 06:00:00",6144,6144
"2019-01-03 07:00:00",6725,6725
"2019-01-03 08:00:00",7446,7446
"2019-01-03 09:00:00",7780,7780
"2019-01-03 10:00:00",7987,NA
"2019-01-03 11:00:00",7994,7994
"2019-01-03 12:00:00",7966,7966
"2019-01-03 13:00:00",8025,8025
"2019-01-03 14:00:00",7892,7892
"2019-01-03 15:00:00",7873,7873
"2019-01-03 16:00:00",8026,8026
"2019-01-03 17:00:00",8474,8474
"2019-01-03 18:00:00",8514,8514
"2019-01-03 19:00:00",8470,8470
"2019-01-03 20:00:00",8214,8214
"2019-01-03 21:00:00",7932,7932
"2019-01-03 22:00:00",7454,7454
"2019-01-03 23:00:00",6974,6974
"2019-01-04 00:00:00",6610,6610
"2019-01-04 01:00:00",6406,6406
"2019-01-04 02:00:00",6372,6372
"2019-01-04 03:00:00",6237,6237
"2019-01-04 04:00:00",6398,6398
"2019-01-04 05:00:00",6530,6530
"2019-01-04 06:00:00",6869,6869
"2019-01-04 07:00:00",7403,7403
"2019-01-04 08:00:00",7925,7925
"2019-01-04 09:00:00",8258,8258
"2019-01-04 10:00:00",8383,8383
"2019-01-04 11:00:00",8291,8291
"2019-01-04 12:00:00",8231,8231
"2019-01-04 13:00:00",8229,8229
"2019-01-04 14:00:00",8072,8072
"2019-01-04 15:00:00",8082,8082
"2019-01-04 16:00:00",8099,8099
"2019-01-04 17:00:00",8664,8664
"2019-01-04 18:00:00",8729,8729
"2019-01-04 19:00:00",8619,8619
"2019-01-04 20:00:00",8343,8343
"2019-01-04 21:00:00",8010,8010
"2019-01-04 22:00:00",7417,7417
"2019-01-04 23:00:00",7065,7065
"2019-01-05 00:00:00",6720,6720
"2019-01-05 01:00:00",6496,6496
"2019-01-05 02:00:00",6373,6373
"2019-01-05 03:00:00",6317,6317
"2019-01-05 04:00:00",6398,6398
"2019-01-05 05:00:00",6414,6414
"2019-01-05 06:00:00",6656,6656
"2019-01-05 07:00:00",6977,6977
"2019-01-05 08:00:00",7362,7362
"2019-01-05 09:00:00",7605,7605
"2019-01-05 10:00:00",7766,7766
"2019-01-05 11:00:00",7763,7763
"2019-01-05 12:00:00",7778,7778
"2019-01-05 13:00:00",7649,7649
"2019-01-05 14:00:00",7511,7511
"2019-01-05 15:00:00",7567,7567
"2019-01-05 16:00:00",7904,7904
"2019-01-05 17:00:00",8408,8408
"2019-01-05 18:00:00",8525,8525
"2019-01-05 19:00:00",8482,8482
"2019-01-05 20:00:00",8226,8226
"2019-01-05 21:00:00",7893,7893
"2019-01-05 22:00:00",7341,7341
"2019-01-05 23:00:00",6983,6983
"2019-01-06 00:00:00",6665,NA
"2019-01-06 01:00:00",6441,6441
"2019-01-06 02:00:00",6297,6297
"2019-01-06 03:00:00",6168,6168
"2019-01-06 04:00:00",6260,6260
"2019-01-06 05:00:00",6244,6244
"2019-01-06 06:00:00",6341,6341
"2019-01-06 07:00:00",6649,6649
"2019-01-06 08:00:00",6812,6812
"2019-01-06 09:00:00",7087,7087
"2019-01-06 10:00:00",7161,7161
"2019-01-06 11:00:00",7074,7074
"2019-01-06 12:00:00",7129,7129
"2019-01-06 13:00:00",7211,7211
"2019-01-06 14:00:00",6997,6997
"2019-01-06 15:00:00",7095,7095
"2019-01-06 16:00:00",7307,7307
"2019-01-06 17:00:00",7851,7851
"2019-01-06 18:00:00",7992,7992
"2019-01-06 19:00:00",7955,7955
"2019-01-06 20:00:00",7810,7810
"2019-01-06 21:00:00",7593,7593
"2019-01-06 22:00:00",7202,7202
"2019-01-06 23:00:00",6800,6800
"2019-01-07 00:00:00",6512,NA
"2019-01-07 01:00:00",6270,6270
"2019-01-07 02:00:00",6172,6172
"2019-01-07 03:00:00",6228,6228
"2019-01-07 04:00:00",6280,6280
"2019-01-07 05:00:00",6588,6588
"2019-01-07 06:00:00",7054,7054
"2019-01-07 07:00:00",7723,7723
"2019-01-07 08:00:00",8410,8410
"2019-01-07 09:00:00",8721,8721
"2019-01-07 10:00:00",8743,8743
"2019-01-07 11:00:00",8646,8646
"2019-01-07 12:00:00",8583,8583
"2019-01-07 13:00:00",8686,8686
"2019-01-07 14:00:00",8385,8385
"2019-01-07 15:00:00",8410,8410
"2019-01-07 16:00:00",8382,8382
"2019-01-07 17:00:00",8910,8910
"2019-01-07 18:00:00",8992,8992
"2019-01-07 19:00:00",8975,8975
"2019-01-07 20:00:00",8795,8795
"2019-01-07 21:00:00",8501,8501
"2019-01-07 22:00:00",7859,7859
"2019-01-07 23:00:00",7369,7369
"2019-01-08 00:00:00",7106,7106
"2019-01-08 01:00:00",6951,6951
"2019-01-08 02:00:00",6890,6890
"2019-01-08 03:00:00",6839,6839
"2019-01-08 04:00:00",6890,6890
"2019-01-08 05:00:00",7084,7084
"2019-01-08 06:00:00",7588,7588
"2019-01-08 07:00:00",8433,8433
"2019-01-08 08:00:00",9170,9170
"2019-01-08 09:00:00",9465,9465
"2019-01-08 10:00:00",9422,9422
"2019-01-08 11:00:00",9354,9354
"2019-01-08 12:00:00",9131,9131
"2019-01-08 13:00:00",9101,9101
"2019-01-08 14:00:00",8873,8873
"2019-01-08 15:00:00",8826,8826
"2019-01-08 16:00:00",8933,8933
"2019-01-08 17:00:00",9394,9394
"2019-01-08 18:00:00",9437,9437
"2019-01-08 19:00:00",9318,9318
"2019-01-08 20:00:00",9123,9123
"2019-01-08 21:00:00",8677,8677
"2019-01-08 22:00:00",7939,7939
"2019-01-08 23:00:00",7494,7494
"2019-01-09 00:00:00",7136,7136
"2019-01-09 01:00:00",6999,6999
"2019-01-09 02:00:00",6884,6884
"2019-01-09 03:00:00",6898,6898
"2019-01-09 04:00:00",6855,6855
"2019-01-09 05:00:00",7064,7064
"2019-01-09 06:00:00",7546,7546
"2019-01-09 07:00:00",8505,8505
"2019-01-09 08:00:00",8951,8951
"2019-01-09 09:00:00",9220,9220
"2019-01-09 10:00:00",9208,9208
"2019-01-09 11:00:00",9163,9163
"2019-01-09 12:00:00",9099,9099
"2019-01-09 13:00:00",8995,8995
"2019-01-09 14:00:00",8930,8930
"2019-01-09 15:00:00",8751,8751
"2019-01-09 16:00:00",8874,8874
"2019-01-09 17:00:00",9298,9298
"2019-01-09 18:00:00",9384,9384
"2019-01-09 19:00:00",9266,9266
"2019-01-09 20:00:00",8973,8973
"2019-01-09 21:00:00",8498,8498
"2019-01-09 22:00:00",7945,7945
"2019-01-09 23:00:00",7566,7566
"2019-01-10 00:00:00",7229,NA
"2019-01-10 01:00:00",6990,6990
"2019-01-10 02:00:00",6941,6941
"2019-01-10 03:00:00",6886,6886
"2019-01-10 04:00:00",6916,6916
"2019-01-10 05:00:00",7148,7148
"2019-01-10 06:00:00",7651,7651
"2019-01-10 07:00:00",8386,8386
"2019-01-10 08:00:00",8897,8897
"2019-01-10 09:00:00",9278,9278
"2019-01-10 10:00:00",9378,9378
"2019-01-10 11:00:00",9195,9195
"2019-01-10 12:00:00",9245,9245
"2019-01-10 13:00:00",9071,9071
"2019-01-10 14:00:00",8924,8924
"2019-01-10 15:00:00",8856,8856
"2019-01-10 16:00:00",8992,8992
"2019-01-10 17:00:00",9373,9373
"2019-01-10 18:00:00",9440,9440
"2019-01-10 19:00:00",9354,9354
"2019-01-10 20:00:00",9121,9121
"2019-01-10 21:00:00",8774,8774
"2019-01-10 22:00:00",8085,8085
"2019-01-10 23:00:00",7405,7405
"2019-01-11 00:00:00",7290,7290
"2019-01-11 01:00:00",7034,7034
"2019-01-11 02:00:00",7028,7028
"2019-01-11 03:00:00",6891,6891
"2019-01-11 04:00:00",7023,7023
"2019-01-11 05:00:00",7133,7133
"2019-01-11 06:00:00",7511,7511
"2019-01-11 07:00:00",8330,8330
"2019-01-11 08:00:00",8948,8948
"2019-01-11 09:00:00",9305,9305
"2019-01-11 10:00:00",9337,9337
"2019-01-11 11:00:00",9281,9281
"2019-01-11 12:00:00",9162,9162
"2019-01-11 13:00:00",9082,9082
"2019-01-11 14:00:00",8905,8905
"2019-01-11 15:00:00",8672,8672
"2019-01-11 16:00:00",8772,8772
"2019-01-11 17:00:00",9294,9294
"2019-01-11 18:00:00",9287,9287
"2019-01-11 19:00:00",9123,9123
"2019-01-11 20:00:00",8935,8935
"2019-01-11 21:00:00",8563,8563
"2019-01-11 22:00:00",7834,7834
"2019-01-11 23:00:00",7448,7448
"2019-01-12 00:00:00",7098,7098
"2019-01-12 01:00:00",6929,6929
"2019-01-12 02:00:00",6765,6765
"2019-01-12 03:00:00",6678,6678
"2019-01-12 04:00:00",6670,6670
"2019-01-12 05:00:00",6792,6792
"2019-01-12 06:00:00",7007,7007
"2019-01-12 07:00:00",7440,7440
"2019-01-12 08:00:00",7878,7878
"2019-01-12 09:00:00",8290,8290
"2019-01-12 10:00:00",8412,8412
"2019-01-12 11:00:00",8372,8372
"2019-01-12 12:00:00",8305,8305
"2019-01-12 13:00:00",8202,8202
"2019-01-12 14:00:00",8013,8013
"2019-01-12 15:00:00",8008,8008
"2019-01-12 16:00:00",8184,8184
"2019-01-12 17:00:00",8751,8751
"2019-01-12 18:00:00",8896,8896
"2019-01-12 19:00:00",8697,8697
"2019-01-12 20:00:00",8443,8443
"2019-01-12 21:00:00",8079,8079
"2019-01-12 22:00:00",7639,7639
"2019-01-12 23:00:00",7202,7202
"2019-01-13 00:00:00",6806,6806
"2019-01-13 01:00:00",6598,6598
"2019-01-13 02:00:00",6468,6468
"2019-01-13 03:00:00",6447,6447
"2019-01-13 04:00:00",6432,6432
"2019-01-13 05:00:00",6589,6589
"2019-01-13 06:00:00",6699,6699
"2019-01-13 07:00:00",6888,6888
"2019-01-13 08:00:00",7112,7112
"2019-01-13 09:00:00",7424,7424
"2019-01-13 10:00:00",7481,7481
"2019-01-13 11:00:00",7424,7424
"2019-01-13 12:00:00",7411,7411
"2019-01-13 13:00:00",7262,7262
"2019-01-13 14:00:00",7028,7028
"2019-01-13 15:00:00",7223,7223
"2019-01-13 16:00:00",7572,7572
"2019-01-13 17:00:00",7784,7784
"2019-01-13 18:00:00",8208,8208
"2019-01-13 19:00:00",8223,8223
"2019-01-13 20:00:00",8033,8033
"2019-01-13 21:00:00",7707,7707
"2019-01-13 22:00:00",7253,7253
"2019-01-13 23:00:00",6855,6855
"2019-01-14 00:00:00",6637,6637
"2019-01-14 01:00:00",6417,6417
"2019-01-14 02:00:00",6328,6328
"2019-01-14 03:00:00",6364,6364
"2019-01-14 04:00:00",6454,6454
"2019-01-14 05:00:00",6772,6772
"2019-01-14 06:00:00",7653,7653
"2019-01-14 07:00:00",8565,8565
"2019-01-14 08:00:00",9055,9055
"2019-01-14 09:00:00",9313,9313
"2019-01-14 10:00:00",9256,9256
"2019-01-14 11:00:00",9047,9047
"2019-01-14 12:00:00",8898,8898
"2019-01-14 13:00:00",8798,8798
"2019-01-14 14:00:00",8681,8681
"2019-01-14 15:00:00",8508,8508
